Kata;Bobot
 a;0,000202131632264898
 aamiin;0,012738166655210800
 abdullah;0,024414335924403800
 abdullah;0,028352285796906100
 abdullah;0,031415023096559700
 abnormal;0,002261952076018490
 abnormal;0,002754089769403120
 absurd;0,004086746576745120
 absurd;0,005423148194249140
 abu;0,000671428160904015
 ada;0,000315347320761301
 ada;0,015030342836142100
 ada;0,015525316397678700
 ada;0,028563410651479900
 adab;0,020056196318421800
 ade;0,012797343195724700
 adoooh;0,001881481521323940
 adsense;0,007826111989011190
 aduh;0,000203363808626760
 aduh;0,000219747
 afkeun;0,002107763631093570
 agam;0,012997731809346100
 agama;0,002170645792037860
 agama;0,004543929712222550
 agenda;0,000900833700225078
 agree;0,000409218076568200
 agree;0,003134967866812130
 agresif;0,021516301876050900
 ah;0,001450023191058280
 ah;0,009929553239556230
 ah;0,051099166645673100
 ah;0,054990322880080200
 ahirnya;0,001577924331040540
 ahirnya;0,000352183
 ahli;0,003242511720052900
 ahli;0,006234181212242620
 ahli;0,010764110021247300
 ahli;0,012914848259151200
 ahli;0,012977693008588000
 ahli;0,018072411064234900
 ahmad;0,000519268650948562
 ahmad;0,004353105714663720
 ahmad;0,000258956
 air;0,010624689495809100
 air;0,015888063998233500
 airlangga;0,002628780545789090
 airlangga;0,004860037541205610
 airlangga;0,006716690379661020
 aja;0,002711480836659550
 aja;0,005137047698676850
 aja;0,005479824695242640
 aja;0,005795122631093120
 aja;0,005832765342901500
 aja;0,007323015800899150
 aja;0,007429215929377110
 aja;0,008162853192998030
 aja;0,009523550459534920
 aja;0,009931914704676840
 aja;0,010514541447294600
 aja;0,010583634316960300
 aja;0,011475941900126500
 aja;0,011578963425900600
 aja;0,012287447552052500
 aja;0,012326867018975400
 aja;0,012408892708726200
 aja;0,013437968279575500
 aja;0,013962322608776600
 aja;0,014106531581684400
 aja;0,014282190926265600
 aja;0,015114921837600600
 aja;0,016591347402908100
 aja;0,016996660144398400
 aja;0,017362717364856400
 aja;0,017903988973757700
 aja;0,018692129464639900
 aja;0,018922607148260700
 aja;0,019292872313213300
 aja;0,020232541312905900
 aja;0,022205443385417000
 aja;0,023994856358372800
 aja;0,025439979109584500
 aja;0,028206745990078000
 aja;0,029657759071040100
 aja;0,031967001253449700
 aja;0,033766849002676800
 aja;0,036228256873804600
 aja;0,037938216056685600
 aja;0,037956558636126400
 aja;0,047822961080138000
 aja;0,056169285204227000
 aja;0,120725201144017000
 aja;0,120740664178776000
 ajak;0,008596372942745540
 ajak;0,012016925574106000
 ajar;0,007114432478477620
 aje;0,032339042416822400
 aju;0,004487007537836910
 aju;0,081833036316583800
 akal;0,001510171048314510
