Kata;Bobot
 bebas;0,070728476
 bebas;0,065895048
 bebas;0,064908461
 bebas;0,062627439
 bebas;0,062463234
 bebas;0,061615169
 bebas;0,060610418
 bebas;0,060381295
 bebas;0,060229093
 bebas;0,056691952
 bebas;0,055245813
 bebas;0,048652871
 bebas;0,048049264
 bebas;0,044985056
 bebas;0,044591336
 bebas;0,04388936
 bebas;0,043279592
 bebas;0,043244911
 bebas;0,040184628
 bebas;0,035249387
 bebas;0,034293793
 bebas;0,033002241
 bebas;0,032731949
 bebas;0,032306163
 bebas;0,032113851
 bebas;0,032092365
 bebas;0,029276884
 bebas;0,027885977
 bebas;0,024015808
 bebas;0,022550345
 bebas;0,018628144
 bebas;0,013801144
 bebas;0,006854282
 bebas;0,005646267
 bebas;0,005134287
 bekas;0,042626598
 bela;0,056379854
 bela;0,034918283
 bela;0,007325356
 berani;0,001084545
 berarap;0,098227478
 berarap;0,097007053
 beritaterkini;0,101358429
 berkat;0,043205159
 bersih;0,022386659
 biar;0,164060005
 biar;0,132808093
 biar;0,064802386
 biar;0,063752066
 biar;0,056134574
 biar;0,055272978
 biar;0,055031657
 biar;0,05128923
 biar;0,044591391
 biar;0,036387478
 biar;0,030467046
 biar;0,029637143
 biar;0,025914768
 biar;0,025373913
 biar;0,022909762
 biar;0,022025368
 biar;0,018301451
 biar;0,017462657
 biar;0,01563502
 biar;0,011683561
 biar;0,007435896
 bicara;0,000440418
 bijak;0,057458646
 bijak;0,027792024
 bijak;0,027362797
 bijak;0,018294152
 bijak;0,016107384
 bijak;0,014306205
 bijak;0,01191643
 bijak;0,011440855
 bijak;0,010732111
 bijak;0,010268535
 bijak;0,008923132
 bijak;0,006722443
 bijak;0,005331923
 bijak;0,005328142
 bijak;0,0052357
 bijak;0,004711568
 bijak;0,004608125
 bijak;0,004116848
 bijak;0,003772266
 bijak;0,003065451
 bijak;0,003029133
 bijak;0,001665181
 bilang;0,107317162
 bilang;0,032558959
 bilang;0,018348539
 bilang;0,01657687
 bilang;0,013972087
 bilang;0,013570103
 blok;0,047654676
 bodo;0,000107233
 bodoh;0,023329144
 bong;0,000687164
 bruto;0,08595087
 bruto;0,051994049
 bruto;0,045612341
 bruto;0,028133311
 budak;0,004127545
 bunga;0,049040647
 bunga;0,024845951
 bunga;0,01142245
 buntung;0,164705261
 bus;0,00011153
 buta;0,00145034
 buta;0,000773267
 butuh;0,010827263
 butuh;0,002949965
 butuh;0,00057849
 cantum;0,031833723
 cegah;0,25999608
 cegah;0,256289578
 cegah;0,165162813
 cegah;0,127823903
 cek;0,025521286
 cek;0,025313574
 celah;0,045141982
 celah;0,017025397
 celah;0,008878061
 cerdas;0,184789992
 cipta;0,031209231
 cipta;0,014662506
 cipta;0,01059125
 cita;0,117542075
 covid;0,05726224
 covid;0,013182271
 covid;0,010720664
 covid;0,007918146
 cukai;0,020715677
 cukai;0,009282289
 daftar;0,039855538
 daftar;0,024621728
 daftar;0,011036262
 daftar;0,008937983
 daftar;0,004282909
 daftar;0,003710752
 daftar;0,00315353
 daftar;0,001969842
 daftar;0,001201865
 dagang;0,020983772
 daging;0,000381826
 daging;3,13688E-05
 dampak;0,031579487
 dampak;0,015578748
 dampak;0,012585568
 dampak;0,010305909
 dana;0,091984991
 dana;0,027608447
 dana;0,024560285
 dana;0,024262767
 dana;0,019623857
 dana;0,01927735
 dana;0,017479062
 dapat;0,024226646
 dapat;0,00504295
 darah;0,000553838
 dasar;0,056141557
 dasar;0,031028251
 dasar;0,027391284
 dasar;0,018892489
 dasar;0,013944539
 data;0,186507571
 data;0,167712748
 data;0,13439645
 data;0,128822342
 data;0,125796266
 data;0,108148366
 data;0,079509404
 data;0,06517908
 data;0,052381869
 data;0,038426557
 daya;0,004078554
 denga;0,064131939
 dibebasin;0,000869602
 didik;0,025006885
 didik;0,003382325
 diem;0,000304017
 diesesuaikan;0,035107632
 digedein;0,000360954
 digital;0,02121058
 dikit;0,001791979
 dilipatgandakan;0,072068236
 direktur;0,011704927
 direktur;0,003147326
 direktur;0,001142859
 direktur;0,000987404
 disclosure;0,000142439
 diskon;0,099690137
 diskon;0,035849034
 diskon;0,021721742
 diskon;0,020954605
 diskon;0,018890009
 diskon;0,016732102
 djp;0,04081846
 doang;0,145724651
 doang;0,108395378
 doang;0,065956794
 doang;0,044570406
 doang;0,043864231
 dolar;0,044920555
 dolar;0,043927967
 dolar;0,031022326
 dorong;0,221613733
 dorong;0,221359625
 dorong;0,157466985
 dorong;0,147996171
 dorong;0,136051478
 dorong;0,135224729
 dorong;0,116005995
 dorong;0,104106306
 dorong;0,094520566
 dorong;0,081558488
 dpr;0,027665596
 dpr;0,003832909
 dpr;0,003346438
 dpr;0,00311803
 dpr;0,00145677
 dsb;0,000371002
 dst;0,078107243
 duduk;0,151396696
 duduk;0,126737462
 duduk;0,122546241
 duduk;0,109035747
 duduk;0,091225636
 duduk;0,067650996
 duduk;0,058551201
 duduk;0,031563776
 duit;0,022722503
 duit;0,015843917
 duit;0,011411096
 duit;0,0091808
 duit;0,008526684
 duit;0,004717448
 duit;0,003575068
 duit;0,001067553
 duit;2,57572E-05
 dukung;0,007054423
 dukung;0,006936241
 dukung;0,006581788
 dukung;0,000544404
 dungu;0,000418937
 dunia;0,111828812
 dunia;0,077165231
 dunia;0,051502075
 dusta;0,012924263
 dusta;0,010380403
 edar;0,027210797
 edukasi;0,053116596
 efek;0,041051432
 efek;0,037990535
 efek;0,021723975
 efek;0,020770032
 efektif;0,04805486
 efektif;0,030864427
 efektif;0,016861463
 efektif;0,006258549
 efektif;0,005805334
 efektif;0,004237873
 efektif;0,003070965
 ekonomi;0,033587604
 ekonomi;0,029064441
 ekonomi;0,015286555
 ekonomi;0,005253541
 ekonomi;0,005091071
 ekonomi;0,00432719
 ekonomi;0,003543634
 ekonomi;0,003062953
 ekonomi;0,002677783
 ekonomi;0,001954007
 ekonomi;0,001613151
 ekonomi;0,001053284
 eksekutif;0,250613486
 eksekutif;0,250448686
 eksesif;0,073879174
 eksesif;0,063602221
 elsam;0,044829665
 elu;0,024006429
 elu;0,002919243
 emas;0,000480548
 embat;0,103025574
 embat;0,042441631
 emisi;0,0074758
 fakta;0,024463826
 fakta;0,01052947
 fakta;0,009006806
 fakta;0,007871298
 fakta;0,003563196
 final;0,087211582
 fitra;0,086040519
 funding;1,79555E-05
 g;0,000187899
 ga;0,129872577
 ga;0,052341247
 ga;0,045877882
 ga;0,040970691
 ga;0,040968093
 ga;0,038473652
 ga;0,029415964
 ga;0,029272414
 ga;0,027642542
 ga;0,02665719
 ga;0,024513235
 ga;0,022076977
 ga;0,017845244
 ga;0,017603569
 ga;0,01758725
 ga;0,016601279
 ga;0,015978675
 ga;0,015533122
 ga;0,014813285
 ga;0,010618381
 ga;0,010200299
 ga;0,008488326
 ga;0,005917889
 ga;0,004687046
 ga;0,004457729
 ga;0,004139182
 gabung;0,066776319
 gagal;0,01531033
 gaji;0,008724919
 gaji;0,008362562
 gaji;0,002148206
 gak;0,073651938
 gak;0,029841182
 gak;0,027579001
 gak;0,019701088
 gak;0,018571478
 gak;0,015864364
 gak;0,012757017
 gak;0,009915954
 gak;0,009481156
 gak;0,009353201
 gak;0,009343469
 gak;0,007504023
 gak;0,006911972
 gak;0,006592318
 gak;0,006351278
 gak;0,005696083
 gak;0,005533699
 gak;0,001767655
 gapapa;0,087954724
 gapapa;0,032979061
 gapapa;0,020763542
 garong;0,001750957
 garong;0,000915595
 garuda;0,032706037
 gas;0,008730481
 gegara;0,157255894
 gegara;0,131991859
 gelar;0,06421316
 gelar;0,020733244
 gelar;0,020304756
 gelar;0,019670052
 genius;0,139527636
 genius;0,023799064
 genius;0,0127526
 genjot;0,052159205
 genjot;0,001743407
 genjot;0,001232254
 gerak;0,083670439
 giat;0,062137052
 giat;0,020296271
 global;0,030905779
 gold;0,020151929
 gold;0,01780486
 gotong;0,102540843
 gotong;0,10008312
 gotong;0,069798553
 gotong;0,069204126
 gw;3,61785E-05
 ham;0,001392609
 hap;0,020512228
 harap;0,131730696
 harap;0,092195517
 harap;0,053537423
 harap;0,047742604
 harap;0,043082482
 harap;0,033629277
 harap;0,023214873
 harga;0,07371681
 harga;0,029847733
 harga;0,026200478
 harga;0,022967734
 harga;0,02099312
 harga;0,020208864
 harga;0,016900004
 harga;0,015095595
 harga;0,012286106
 harga;0,01187194
 harga;0,01115224
 harga;0,006577524
 harga;0,00442041
 harmonisasi;0,042767131
 harmonisasi;0,018196972
 harmonisasi;0,017229595
 harmonisasi;0,013508303
 harmonisasi;0,006828615
 harmonisasi;0,005308469
 harmonisasi;0,002360459
 harta;0,075443052
 harta;0,073807794
 harta;0,06884355
 harta;0,067597171
 harta;0,052644083
 harta;0,037731223
 harta;0,036002556
 harta;0,03491215
 harta;0,033215077
 harta;0,029953167
 harta;0,029740674
 harta;0,028649578
 harta;0,024864499
 harta;0,024233067
 harta;0,022861819
 harta;0,022278226
 harta;0,020507304
 harta;0,019746992
 harta;0,019269167
 harta;0,018789798
 harta;0,018279212
 harta;0,017334127
 harta;0,016660835
 harta;0,016278016
 harta;0,013867006
 harta;0,012154696
 harta;0,011267036
 harta;0,01033751
 harta;0,009429795
 harta;0,008022657
 harta;0,007840753
 harta;0,002279892
 harta;0,001021631
 harta;0,000977345
 hasil;0,087870367
 hasil;0,084753356
 hasil;0,082163869
 hasil;0,074496162
 hasil;0,061153659
 hasil;0,057412712
 hasil;0,055018091
 hasil;0,044768388
 hasil;0,044558441
 hasil;0,041052255
 hasil;0,039785125
 hasil;0,037436137
 hasil;0,036331032
 hasil;0,035338789
 hasil;0,034672495
 hasil;0,034672363
 hasil;0,030799741
 hasil;0,03073426
 hasil;0,029636186
 hasil;0,028411248
 hasil;0,028319841
 hasil;0,024137388
 hasil;0,023944283
 hasil;0,023887414
 hasil;0,022244009
 hasil;0,021995255
 hasil;0,021986944
 hasil;0,019212449
 hasil;0,018575462
 hasil;0,018447082
 hasil;0,0179798
 hasil;0,015039519
 hasil;0,013091529
 hasil;0,01264195
 hasil;0,010044896
 hasil;0,000755147
 hasil;0,000652626
 hindar;0,101786747
 hindar;0,099163565
 hindar;0,096642171
 hindar;0,087848889
 hindar;0,086174493
 hindar;0,063427241
 hindar;0,05685597
 hindar;0,053966473
 hindar;0,049404671
 hindar;0,048041108
 hindar;0,045163127
 hindar;0,036194797
 hindar;0,021641836
 hindar;0,015524587
 hindar;0,014660785
 hindar;0,000129166
 hmmm;0,000462063
 hpp;0,060064972
 hpp;0,029270517
 hpp;0,018990401
 hpp;0,012137557
 hpp;0,011437271
 hpp;0,006764458
 hpp;0,003442004
 hubung;0,104781965
 hubung;0,035424453
 hubung;0,006750507
 hukum;0,013858889
 hukum;0,001837342
 hukum;3,38964E-05
 hutang;0,158468865
 hutang;0,138391082
 hutang;0,063747179
 hutang;0,048224605
 hutang;0,048011475
 hutang;0,041936588
 hutang;0,041799641
 hutang;0,039657476
 hutang;0,036524715
 hutang;0,03441178
 hutang;0,034101868
 hutang;0,027082319
 hutang;0,026473
 hutang;0,021990106
 hutang;0,02128836
 hutang;0,019716366
 hutang;0,018776566
 hutang;0,018363707
 hutang;0,016076485
 hutang;0,014053918
 hutang;0,013629919
 hutang;0,012827511
 hutang;0,010006797
 hutang;0,009582798
 hutang;0,006228093
 hutang;0,005926691
 hutang;0,004498062
 hutang;0,002035677
 hutang;0,001060236
 i;0,003365369
 i;0,00173082
 i;0,00041689
 ibrahim;0,031009589
 ii;0,006534727
 ii;0,006323507
 iii;0,064255025
 iklim;0,110959546
 iklim;0,097945769
 iklim;0,093448357
 iklim;0,049218413
 imbang;0,262594152
 imbang;0,089030724
 imbang;0,082801323
 iming;0,000775053
 implementasi;0,156902785
 implementasi;0,154450976
 implementasi;0,126384775
 implementasi;0,088451707
 incar;0,086249366
 incar;0,030511047
 indonesia;0,174147603
 indonesia;0,150112638
 indonesia;0,149728919
 indonesia;0,131723263
 indonesia;0,120398034
 indonesia;0,107101511
 indonesia;0,106433078
 indonesia;0,104085137
 indonesia;0,097784009
 indonesia;0,093917657
 indonesia;0,089797707
 indonesia;0,08722395
 indonesia;0,078957001
 indonesia;0,077263199
 indonesia;0,071732502
 indonesia;0,069606114
 indonesia;0,067760087
 indonesia;0,06586926
 indonesia;0,064847913
 indonesia;0,061671293
 indonesia;0,057377729
 indonesia;0,054412655
 indonesia;0,054149341
 indonesia;0,054088456
 indonesia;0,053570782
 indonesia;0,053059195
 indonesia;0,052637211
 indonesia;0,052637056
 indonesia;0,046582469
 indonesiamaju;0,029568839
 induk;0,02419723
 inflasi;0,037183512
 informasi;0,042441161
 informasi;0,032177
 infrastruktur;0,166940021
 infrastruktur;0,061861265
 infrastruktur;0,03162947
 infustrigula;0,095694793
 instrumen;0,001112107
 integrasi;0,233322649
 integrasi;0,204579984
 integrasi;0,201685931
 integrasi;0,195876401
 integrasi;0,161637173
 integrasi;0,153678619
 integrasi;0,13012532
 integrasi;0,11278585
 integrasi;0,051991875
 investasi;0,16568192
 investasi;0,16480031
 investasi;0,091646778
 isi;9,64938E-05
 islam;0,000195409
 islamphobia;0,04846757
 jabar;0,042712
 jahat;0,011151213
 jahat;0,000492374
 jalan;0,133317485
 jalan;0,074675133
 jalan;0,056092329
 jalan;0,05312745
 jalan;0,051614367
 jalan;0,046601985
 jalan;0,04101362
 jalan;0,037212044
 jalan;0,03262652
 jalan;0,020149807
 jalan;0,005569598
 jaman;0,00028988
 jangka;0,060192491
 jangka;0,028836138
 jangka;0,027947049
 jangka;0,022683488
 janji;0,270820238
 janji;0,137925624
 janji;0,137524008
 janji;0,127484811
 janji;0,095797442
 janji;0,047501842
 janji;0,020262894
 janji;0,019440796
 janji;0,018562075
 janji;0,013725283
 janji;0,011397894
 janji;0,01097881
 janji;0,010212373
 janji;0,008885322
 janji;0,008559826
 janji;0,008539398
 janji;0,008044441
 janji;0,007544153
 janji;0,006635567
 janji;0,005098227
 janji;0,002841599
 janji;0,001335549
 janji;0,000979858
 janji;0,000959372
 jargon;0,001248701
 jasa;0,052626873
 jasa;0,031445639
 jasa;0,008988729
 jasa;0,008435293
 jasa;0,005065227
 jelata;0,048283829
 jelata;0,028266292
 jelata;0,027259342
 jelata;0,024381305
 jelata;0,019275372
 jelata;0,017322412
 jelata;0,01584176
 jelata;0,006231316
 jelata;0,004205904
 jelek;0,021796574
 jelek;0,004988124
 jenderal;0,031647077
 jenderal;0,012605617
 jenius;0,387385881
 jenius;0,357981121
 jenius;0,349030331
 jenius;0,209971564
 jenius;0,209576712
 jenius;0,067389092
 jenius;0,067254082
 jenius;0,06342316
 jenius;0,063417925
 jenius;0,058826831
 jenius;0,054063773
 jenius;0,046337526
 jenius;0,03827372
 jenius;0,031061225
 jenius;0,028851649
 jenius;0,021773732
 jenius;0,017804284
 jenius;0,008033717
 jenius;0,007236102
 jilid;0,313861799
 jilid;0,230786816
 jilid;0,069904096
 jilid;0,060059566
 jilid;0,055167603
 jilid;0,052283293
 jilid;0,049359951
 jilid;0,047086172
 jilid;0,036465033
 jilid;0,035065248
 jilid;0,034548796
 jilid;0,031610104
 jilid;0,029455213
 jilid;0,027286705
 jilid;0,026894951
 jilid;0,025861871
 jilid;0,025311812
 jilid;0,0247007
 jilid;0,023347664
 jilid;0,022086975
 jilid;0,019547636
 jilid;0,016870016
 jilid;0,014890285
 jilid;0,01328821
 jilid;0,010722285
 jilid;0,010356037
 jilid;0,00740271
 jilidii;0,075598913
 jilidii;0,073701659
 jilidii;0,071470745
 jilidii;0,06578132
 jilidii;0,064517323
 jilidii;0,047971562
 jilidii;0,047574235
 jilidii;0,043617664
 jilidii;0,035285955
 jilidii;0,034344502
 jilidii;0,026674236
 jilidii;0,025566604
 jilidii;0,02428639
 jilidii;0,02366132
 jilidii;0,022167708
 jilidii;0,022136575
 jilidii;0,021891105
 jilidii;0,021055412
 jilidii;0,017687489
 jilidii;0,016211905
 jilidii;0,01473789
 jilidii;0,014455694
 jilidii;0,013406719
 jilidii;0,013397272
 jilidii;0,012912737
 jilidii;0,012885327
 jilidii;0,012783981
